Depth,GR,RT,nphi,sw,PHIE,VSH,RHOB,VS,VP,pimpmod,simpmod,vpvsmod,EPSILON,GAMA,DELTA,c11,c13,c33,c44,c66,a,b,c,a_ratio,b_ratio,c_ratio,crack_density,profundidad,VP_0,VP_45,VP_90,VP_Backus_5,VP_Backus_10,VP_Backus_15,VP_Backus_20,VP_Backus_30,VP_Backus_50,VP_Backus,Diff_Backus,Diff_Backus_%,RF_pred_VP_0,PNN_pred_VP_0,CNN_pred_VP_0,RF_pred_VP_45,PNN_pred_VP_45,CNN_pred_VP_45,RF_pred_VP_90,PNN_pred_VP_90,CNN_pred_VP_90,RF_pred_VP_Backus,PNN_pred_VP_Backus,CNN_pred_VP_Backus
2618.8416,71.3417,5.9625,0.3278,0.2943,0.1905,0.176,2.2308,1733.6003,3117.8625,6955.3276,3867.3154,1.7985,0.027125,0.032115,0.01789,22862207527,11686438418,21685755302,6704379396,7135001685,6955327.665,6754633795,3203.59197,0.017481113,0.053590762,0.019091498,0.007418963,780,3117.8625,3152.950145,3202.43452,3178.557216,3197.633517,3224.662824,3254.413853,3264.583195,3280.745127,3197.633517,79.7710165,2.558516179,3118.007047,3140.193397,2995.749,3154.301714,3180.963069,3061.1733,3206.475807,3222.647329,3033.383,3186.800132,3219.80685,3016.4697
2618.9939,71.6383,5.3919,0.3314,0.2926,0.1923,0.1764,2.2275,1782.069,3177.5459,7077.9834,3969.5586,1.7831,0.027255,0.032229,0.017958,23716580982,11871458196,22490617426,7074027498,7530005163,7077983.492,7126494932,3265.340905,0.027802151,0.080449474,0.019589459,0.007448198,781,3177.5459,3213.462496,3264.149914,3177.188305,3199.288364,3222.730793,3248.910817,3275.947425,3282.044314,3199.288364,21.74246433,0.684253352,3177.512359,3195.369582,3014.3508,3207.607071,3230.539733,3090.8499,3259.029176,3279.757802,3059.9844,3271.624103,3250.695085,3037.669
2619.1465,70.4954,4.2081,0.3312,0.2887,0.2073,0.1579,2.2434,1848.7865,3243.9724,7277.5278,4147.5679,1.7546,0.026155,0.029904,0.016778,24843038597,11825707689,23608098941,7667967050,8126572823,7277527.682,7723510536,3329.93781,-0.006749169,-0.013047433,-0.005249837,0.007002627,782,3243.9724,3278.790767,3328.818498,3210.080951,3219.601345,3228.01204,3245.122219,3278.73232,3285.100459,3219.601345,-24.37105539,-0.751271971,3243.942163,3262.734971,3082.5615,3279.271586,3293.36374,3159.3413,3329.142872,3341.382366,3125.4458,3230.310423,3268.691539,3073.1877
2619.2988,70.802,2.9433,0.3268,0.2869,0.2123,0.1454,2.2378,1839.1193,3230.2153,7228.5757,4115.5811,1.7564,0.025155,0.028179,0.015878,24524587403,11632503469,23349856141,7569044760,7995620984,7228575.798,7623393104,3312.501988,0.01612674,0.043201438,0.016400064,0.00665355,783,3230.2153,3263.351656,3311.471366,3242.654441,3224.134184,3230.213741,3246.489221,3280.170329,3286.278699,3224.134184,-6.081115764,-0.188257289,3230.419922,3250.128426,3070.6152,3264.318465,3281.063775,3145.7173,3311.97812,3330.221091,3109.5725,3221.285331,3266.631263,3065.2527
2619.4512,71.512,3.0773,0.3234,0.3111,0.216,0.136,2.2355,1880.3668,3286.1079,7346.0947,4203.5601,1.7476,0.0244,0.02688,0.0152,25318093060,11783368975,24140058219,7904234631,8329166285,7346094.21,7959952226,3367.275146,-0.003974876,-0.005954485,-0.002882403,0.006390156,784,3286.1079,3318.640368,3366.288933,3276.256531,3227.72116,3242.315651,3249.314409,3286.618474,3286.707106,3227.72116,-58.38674033,-1.776774899,3286.138673,3294.196614,3124.3337,3318.672266,3324.787508,3203.2222,3368.060666,3366.412097,3167.3823,3245.172437,3276.114135,3098.3997
2619.6035,69.0011,3.5952,0.3223,0.3,0.218,0.1316,2.2323,1876.144,3277.7639,7316.9526,4188.1162,1.7471,0.02406,0.02628,0.014888,25137315903,11661716162,23983242284,7857509176,8270499858,7316952.354,7912695646,3357.583276,0.020640231,0.054720911,0.020395849,0.006269252,785,3277.7639,3309.679487,3356.626899,3271.037212,3249.80975,3253.471644,3250.853824,3286.31032,3289.537111,3249.80975,-27.95415025,-0.852842093,3277.802777,3288.26587,3119.011,3310.317859,3318.548527,3196.5083,3356.975088,3360.691421,3159.4404,3258.656115,3274.392231,3094.3628
2619.7561,64.7693,4.672,0.3222,0.3148,0.2186,0.1302,2.2326,1928.1542,3345.6711,7469.5454,4304.7969,1.7352,0.02395,0.026088,0.014788,26187693577,11902310862,24990641833,8300312545,8733389652,7469545.298,8357751439,3426.767172,-0.038916279,-0.109384212,-0.038962099,0.006230433,786,3345.6711,3378.072252,3425.799923,3279.887433,3268.073124,3261.672325,3256.343904,3284.40647,3284.880483,3268.073124,-77.59797584,-2.319354578,3345.401148,3335.62571,3191.6118,3378.923809,3369.89467,3274.0156,3427.083873,3409.799804,3242.1382,3263.544668,3292.564668,3140.0447
2619.9084,64.9248,6.0451,0.3204,0.3174,0.2193,0.1276,2.2322,1825.5126,3218.5476,7184.4419,4074.9089,1.7631,0.023725,0.025719,0.014594,24220676980,11499488572,23123468404,7438798135,7821435034,7184441.953,7491770956,3295.820669,0.01604536,0.046657632,0.016456421,0.006154481,787,3218.5476,3249.380481,3294.907642,3290.53426,3282.476197,3273.315094,3267.019736,3284.392003,3280.933677,3282.476197,63.92859725,1.986256076,3218.873448,3235.324373,3056.5332,3247.4184,3266.263743,3129.3667,3297.460731,3316.392867,3090.4375,3223.167414,3264.724539,3055.8838
2620.0608,67.1284,6.558,0.3171,0.3224,0.2218,0.1206,2.23,1869.6588,3273.8335,7300.6489,4169.3394,1.751,0.02315,0.024744,0.014084,25007729617,11603529186,23901108302,7795241583,8181012499,7300648.705,7849602112,3350.506815,0.019590278,0.054332576,0.018943673,0.005955589,788,3273.8335,3304.307979,3349.622746,3293.893463,3292.268876,3290.838429,3281.614483,3283.351927,3277.236738,3292.268876,18.43537581,0.56311281,3274.349783,3282.807723,3109.771,3304.073064,3312.784733,3186.603,3350.165276,3355.558914,3148.1987,3272.820259,3273.7017,3089.0388
2620.2131,63.9483,6.8272,0.3074,0.3344,0.2246,0.1078,2.2289,1921.8442,3340.2488,7445.0806,4283.5986,1.738,0.02201,0.022908,0.013116,25963129283,11697913087,24868421374,8232409004,8609585055,7445080.55,8287890056,3414.58272,-0.027615407,-0.064315919,-0.015006552,0.005575015,789,3340.2488,3369.581195,3413.767676,3288.719523,3305.621912,3302.550087,3288.300174,3284.921476,3279.352911,3305.621912,-34.62688791,-1.036655949,3340.348501,3326.854561,3181.5574,3370.620974,3360.536191,3262.8135,3415.666153,3399.481662,3225.902,3291.66623,3290.435972,3133.628
2620.3655,67.8206,7.3247,0.2896,0.3406,0.2225,0.0967,2.1983,1873.9935,3294.4978,7242.2939,4119.5996,1.758,0.020795,0.02118,0.012186,24852049236,11483066183,23859723342,7720103456,8047127038,7242294.514,7771626715,3363.724168,0.011133358,0.023473546,0.006635465,0.005202366,790,3294.4978,3321.661758,3363.006882,3313.777961,3305.875677,3317.468193,3300.121942,3288.507451,3275.627031,3305.875677,11.37787709,0.345359984,3294.272066,3286.453715,3119.8596,3323.369399,3316.654719,3194.4326,3364.545947,3357.927622,3152.0361,3303.917784,3275.075091,3097.6707
2620.5181,70.1295,7.8095,0.2748,0.3468,0.2187,0.0904,2.2064,1892.8407,3319.1516,7323.376,4176.3638,1.7535,0.019975,0.020121,0.011606,25278475916,11539134837,24307395467,7905191228,8223311934,7323376.09,7956212320,3386.118256,0.003748058,0.012640915,0.00717569,0.004966321,791,3319.1516,3345.357132,3385.451653,3331.763418,3315.471432,3327.084846,3312.31763,3291.072619,3280.974573,3315.471432,-3.680168006,-0.110876768,3318.970519,3302.490935,3141.7834,3346.181695,3334.869261,3219.2583,3385.439224,3373.897054,3178.1255,3306.218671,3282.111235,3112.0618
2620.6704,72.0812,8.2501,0.2691,0.3384,0.2125,0.096,2.1994,1907.9377,3342.2188,7350.876,4196.3184,1.7517,0.020225,0.020775,0.01193,25562021208,11671466207,24568236060,8006313652,8338975984,7350876.029,8057424481,3410.503375,0.01761191,0.02062827,0.010229247,0.005086986,792,3342.2188,3369.086061,3409.815175,3321.360817,3315.855766,3331.268689,3323.642053,3298.367657,3281.696492,3315.855766,-26.36303434,-0.788788404,3342.116632,3314.699069,3163.557,3368.204759,3348.359544,3242.621,3410.310017,3386.826507,3202.7925,3312.82444,3286.519061,3127.3853
2620.8228,66.8497,8.9066,0.2743,0.3472,0.1868,0.1476,2.2243,1916.6836,3363.5237,7481.4854,4263.2793,1.7549,0.0241,0.027744,0.015544,26377066941,12467467541,25164154685,8171357577,8624769866,7481485.766,8225361375,3445.5693,-0.002096237,-0.060752536,-0.016756911,0.006487057,793,3363.5237,3396.859583,3444.584621,3337.333976,3341.181518,3336.208647,3325.616732,3301.770332,3280.160214,3341.181518,-22.34218184,-0.664249276,3363.623905,3339.18703,3176.2825,3397.472266,3374.046745,3260.569,3445.480704,3415.102844,3236.09,3322.133814,3296.044097,3138.429
2620.9751,66.9014,9.7224,0.288,0.398,0.1513,0.223,2.2702,1839.8925,3288.6174,7465.8193,4176.9238,1.7874,0.029865,0.037989,0.020866,26018727277,13339238128,24552222997,7685091055,8268988903,7465819.221,7740526400,3388.313257,0.049232153,0.073963479,0.026920247,0.008537227,794,3288.6174,3330.326112,3386.831959,3343.443553,3351.19662,3339.743303,3331.865554,3301.973586,3280.837068,3351.19662,62.57921958,1.902903621,3288.653399,3288.928614,3070.0605,3330.313136,3318.534929,3156.9973,3386.173657,3371.248273,3144.122,3329.580444,3277.062043,3077.399
2621.1277,67.0412,10.3281,0.3003,0.4943,0.1191,0.2502,2.324,1887.2937,3374.6023,7842.5752,4386.0703,1.7881,0.030975,0.041103,0.022398,28105116466,14553516286,26465574148,8277803333,8958288434,7842575.745,8334747108,3480.766334,0.003983459,-0.064651679,-0.005069858,0.009094654,795,3374.6023,3419.630462,3479.130606,3369.042086,3352.016457,3344.216923,3335.909255,3308.15486,3278.566034,3352.016457,-22.58584335,-0.66928904,3374.605666,3383.590703,3186.1255,3419.864178,3425.634139,3278.4644,3483.190122,3485.973428,3287.403,3343.530132,3338.651254,3146.8909
2621.28,62.9968,10.2988,0.3137,0.6699,0.0787,0.2941,2.3507,1816.7178,3349.5889,7873.8784,4270.5581,1.8438,0.033345,0.046476,0.025102,28133155612,15822245943,26374256450,7758399702,8479558471,7873878.627,7812941271,3463.163999,0.052382753,0.067274175,0.039304094,0.010097203,796,3349.5889,3398.532256,3461.280942,3370.857848,3357.776579,3349.559639,3338.968384,3308.334895,3275.377302,3357.776579,8.187678695,0.244438316,3349.840014,3356.187112,3166.2803,3399.684173,3401.435758,3264.747,3464.817366,3472.898721,3292.9958,3352.847464,3328.88301,3148.4097
